Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ
303 Vattentank,Syradisk,60,2018-09-16,2019-01-12,Lutdisk,60,2018-09-17,2018-11-18,Filtrering,Vanlig
BBT 304,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 305,Syradisk,7,2018-10-30,2019-01-12,Lutdisk,21,2018-10-12,2018-11-02,Filtrering,Vanlig
BBT 306,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-10-21,2018-11-11,Filtrering,Vanlig
BBT 307,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 308,Syradisk,7,2018-11-01,2018-11-08,Lutdisk,21,2018-10-15,2018-11-05,Filtrering,Vanlig
301 Vattentank,Syradisk,60,2018-09-14,2018-11-13,Lutdisk,60,2018-09-14,2018-11-13,Filtrering,Vanlig
BBT 310,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 309,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-10-29,2018-11-19,Filtrering,Vanlig
BBT 311,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 312,Syradisk,7,2018-10-31,2019-01-12,Lutdisk,21,2018-10-31,2018-11-21,Filtrering,Vanlig
BBT 313,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 314,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-13,2018-12-04,Filtrering,Vanlig
BBT 315,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-10-31,2018-11-21,Filtrering,Vanlig
BBT 317,Syradisk,7,2018-11-13,2018-11-20,Lutdisk,21,2018-11-02,2018-11-23,Filtrering,Vanlig
