Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
303 Vattentank,Syradisk,60,2019-05-16,2019-07-15,Lutdisk,60,2019-05-16,2019-07-15,Filtrering,Vanlig,FALSE,TRUE,SUB_OBJECT=303,Ja
BBT 304,Syradisk,7,2019-05-10,2019-05-17,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=304,Ja
BBT 305,Syradisk,7,2019-05-10,2019-05-17,Lutdisk,21,2019-04-26,2019-05-17,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=305,Ja
BBT 306,Syradisk,7,2019-05-10,2019-05-17,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=306,Ja
BBT 307,Syradisk,7,2019-05-21,2019-05-28,Lutdisk,21,2019-05-21,2019-06-11,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=307,Ja
BBT 308,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=308,Ja
301 Vattentank,Syradisk,30,2019-03-10,2019-05-09,Lutdisk,60,2019-01-22,2019-03-23,Filtrering,Vanlig,FALSE,TRUE,SUB_OBJECT=301,Ja
BBT 310,Syradisk,7,2019-05-09,2019-05-16,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=310,Ja
BBT 309,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=309,Ja
BBT 311,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=311,Ja
BBT 312,Syradisk,7,2019-05-15,2019-05-22,Lutdisk,21,2019-05-17,2019-06-07,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=312,Ja
BBT 313,Syradisk,7,2019-03-15,2019-03-22,Lutdisk,21,2019-03-15,2019-04-05,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=313,Ja
BBT 314,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-03-10,2019-03-31,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=314,Ja
BBT 315,Syradisk,7,2019-05-09,2019-05-16,Lutdisk,21,2019-05-09,2019-05-30,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=315,Ja
BBT 317,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-05-21,2019-06-11,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=317,Ja
BBT 318,Syradisk,7,2019-03-11,2019-03-18,Lutdisk,21,2019-03-11,2019-04-01,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=318,Ja
BBT 319,Syradisk,7,2019-05-10,2019-05-17,Lutdisk,21,2019-03-10,2019-03-31,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=319,Ja
BBT 320,Syradisk,7,2019-05-08,2019-05-15,Lutdisk,21,2019-01-17,2019-02-07,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=320,Ja
BBT 321,Syradisk,7,2019-05-15,2019-05-22,Lutdisk,21,2019-05-15,2019-06-05,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=321,Ja
BBT 322,Syradisk,7,2019-05-17,2019-05-24,Lutdisk,21,2019-05-08,2019-05-29,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=322,Ja
BBT 323,Syradisk,7,2019-03-10,2019-03-17,Lutdisk,21,2019-03-10,2019-03-31,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=323,Ja
302 Vattentank,Syradisk,60,2019-03-10,2019-05-09,Lutdisk,60,2019-01-22,2019-03-23,Filtrering,Vanlig,FALSE,TRUE,SUB_OBJECT=,Ja
BBT 324,Syradisk,7,2019-03-10,2019-03-17,Lutdisk,21,2019-03-10,2019-03-31,Filtrering,Vanlig,TRUE,FALSE,SUB_OBJECT=324,Ja
