Objekt,Date,Sign,CleaningType,DateTime
BBT 304,2016-12-01,serefcle,Lutdisk,2016-12-01 02:00
BBT 306,2016-12-05,serefcle,Syradisk,2016-12-05 22:30
BBT 307,2016-12-05,serefcle,Lutdisk,2016-12-05 19:00
BBT 308,2016-12-05,serefcle,Syradisk,2016-12-05 15:30
BBT 305,2016-12-05,serefcle,Lutdisk,2016-12-05 02:00
BBT 312,2016-12-05,serefcle,Syradisk,2016-12-05 01:30
BBT 311,2016-12-05,serefcle,Lutdisk,2016-12-05 05:00
BBT 313,2016-12-05,serefcle,Lutdisk,2016-12-05 22:00
BBT 315,2016-12-05,serefcle,Lutdisk,2016-12-05 15:00
BBT 316,2016-12-05,serefcle,Syradisk,2016-12-05 11:30
BBT 314,2016-12-05,serefcle,Syradisk,2016-12-05 18:30
BBT 309,2016-12-05,serefcle,Lutdisk,2016-12-05 12:00
BBT 318,2016-12-05,serefcle,Syradisk,2016-12-05 04:30
BBT 320,2016-12-05,serefcle,Syradisk,2016-12-05 21:30
BBT 319,2016-12-05,serefcle,Lutdisk,2016-12-05 01:00
BBT 321,2016-12-05,serefcle,Lutdisk,2016-12-05 18:00
BBT 322,2016-12-05,serefcle,Syradisk,2016-12-05 14:30
BBT 323,2016-12-05,serefcle,Lutdisk,2016-12-05 11:00
BBT 325,2016-12-05,serefcle,Lutdisk,2016-12-05 04:00
T34,2016-12-05,serefcle,Syradisk,2016-12-05 00:30
T45,2016-12-05,serefcle,Lutdisk,2016-12-05 21:00
Aldox,2016-12-05,serefcle,Syradisk,2016-12-05 17:30
Rengör balanssystem,2016-12-05,serefcle,Syradisk,2016-12-05 20:30
BBT 304,2016-12-05,ola,Syradisk,2016-12-05 06:30
BBT 304,2016-12-05,pola,Dubbeldisk,2016-12-05 06:30
BBT 304,2016-12-05,dsaghaeh,Lutdisk,2016-12-05 02:30
BBT 304,2016-12-06,sekarola,Lutdisk,2016-12-06 03:00
BBT 310,2016-12-06,sekarola,Lutdisk,2016-12-06 12:30
BBT 314,2016-12-06,sekarola,Lutdisk,2016-12-06 22:00
BBT 322,2016-12-06,sekosser,Syradisk,2016-12-06 03:00
BBT 317,2016-12-05,serefcle,Lutdisk,2016-12-05 08:00
BBT 305,2016-12-06,sejonhed,Lutdisk,2016-12-06 10:00
BBT 307,2016-12-06,kosser,Lutdisk,2016-12-06 02:00
BBT 306,2016-12-07,sekarola,Lutdisk,2016-12-07 08:00
BBT 308,2016-12-07,sedgndas,Lutdisk,2016-12-07 02:30
BBT 313,2016-12-07,sekarola,Dubbeldisk,2016-12-07 02:00
BBT 318,2016-12-07,sekarola,Rengjord,2016-12-07 03:30
BBT 312,2016-12-06,sekarola,Dubbeldisk,2016-12-06 18:00
BBT 325,2016-12-07,fdasnjk,Lutdisk,2016-12-07 03:30
BBT 311,2016-12-08,sekarola,Dubbeldisk,2016-12-08 03:30
BBT 310,2016-12-08,sekosser,Lutdisk,2016-12-08 09:00
BBT 309,2016-12-08,dsagas,Lutdisk,2016-12-08 00:00
BBT 315,2016-12-08,sekarola,Dubbeldisk,2016-12-08 12:00
BBT 310,2016-12-05,serefcle,Syradisk,2016-12-05 08:30
BBT 307,2016-12-08,sekarola,Lut,2016-12-08 05:00
BBT 319,2016-12-08,sekarola,Lut,2016-12-08 05:00
BBT 308,2016-12-08,sekarola,Lut,2016-12-08 05:00
Rengör avloppsrännor jäskällaren,2016-12-09,sekarola,Lut,2016-12-09 05:00
BBT 312,2016-12-09,sekarola,Lut,2016-12-09 05:00
BBT 324,2016-12-05,serefcle,Syradisk,2016-12-05 07:30
BBT 317,2016-12-08,sekosser,Lutdisk,2016-12-08 05:00
BBT 310,2016-12-09,sekosser,Lutdisk,2016-12-09 07:06
BBT 321,2016-12-12,sekarola,Lutdisk,2016-12-12 16:22
BBT 306,2016-12-12,SEKAROLA,Lutdisk,2016-12-12 17:06
BBT 306,2016-12-12,fdsa,Lutdisk,2016-12-12 17:10
BBT 324,2016-12-14,xsaf,Lutdisk,2016-12-14 12:34
BBT 304,2016-12-14,diskad,Lutdisk,2016-12-14 12:40
BBT 319,2016-12-14,ola,Lutdisk,2016-12-14 12:00
T45,2016-12-14,fdmksaofd,Lutdisk,2016-12-14 12:46
BBT 323,2016-12-15,sekosser,Lutdisk,2016-12-15 00:05
BBT 305,2016-12-15,fadsgdsa,Lutdisk,2016-12-15 00:25
T34,2016-12-15,testola,Lutdisk,2016-12-15 10:47
Aldox,2016-12-15,testola,Lutdisk,2016-12-15 10:48
BBT 318,2016-12-15,testola,Lutdisk,2016-12-15 10:50
BBT 313,2016-12-15,testola3,Lutdisk,2016-12-15 10:51
BBT 306,2016-12-15,testola,Lutdisk,2016-12-15 10:49
BBT 304,2016-12-15,testola6,Lutdisk,2016-12-15 10:51
BBT 325,2016-12-15,testola8,Lutdisk,2016-12-15 10:56
BBT 322,2016-12-15,testola13,Lutdisk,2016-12-15 11:06
BBT 315,2016-12-15,feagads,Rengjord,2016-12-15 14:29
