Objekt;Typ;Cleaning1;Cleaning2
BBT304;Normal;Syradisk;Lutdisk
BBT305;Normal;Syradisk;Lutdisk
BBT306;Normal;Syradisk;Lutdisk
BBT307;Normal;Syradisk;Lutdisk
BBT308;Normal;Syradisk;Lutdisk
BBT309;Normal;Syradisk;Lutdisk
BBT310;Normal;Syradisk;Lutdisk
BBT311;Normal;Syradisk;Lutdisk
BBT312;Normal;Syradisk;Lutdisk
BBT313;Normal;Syradisk;Lutdisk
BBT314;Normal;Syradisk;Lutdisk
BBT315;Normal;Syradisk;Lutdisk
BBT316;Normal;Syradisk;Lutdisk
BBT317;Normal;Syradisk;Lutdisk
BBT318;Normal;Syradisk;Lutdisk
BBT319;Normal;Syradisk;Lutdisk
BBT320;Normal;Syradisk;Lutdisk
BBT321;Normal;Syradisk;Lutdisk
BBT322;Normal;Syradisk;Lutdisk
BBT323;Normal;Syradisk;Lutdisk
BBT324;Normal;Syradisk;Lutdisk
BBT325;Normal;Syradisk;Lutdisk
Balanssystem;Sällan;CIP;
Filtret;Veckoavslut;Lutsterilning;
T45;Veckoavslut;Syradisk;Lutdisk
