Objekt	Date	CleaningType
BBT 304	2016-12-01	Lutdisk
BBT 305	2016-12-05	Lutdisk
BBT 306	2016-12-05	Syradisk
BBT 307	2016-12-05	Lutdisk
BBT 308	2016-12-05	Syradisk
BBT 309	2016-12-05	Lutdisk
BBT 310	2016-12-05	Syradisk
BBT 311	2016-12-05	Lutdisk
BBT 312	2016-12-05	Syradisk
BBT 313	2016-12-05	Lutdisk
BBT 314	2016-12-05	Syradisk
BBT 315	2016-12-05	Lutdisk
BBT 316	2016-12-05	Syradisk
BBT 317	2016-12-05	Lutdisk
BBT 318	2016-12-05	Syradisk
BBT 319	2016-12-05	Lutdisk
BBT 320	2016-12-05	Syradisk
BBT 321	2016-12-05	Lutdisk
BBT 322	2016-12-05	Syradisk
BBT 323	2016-12-05	Lutdisk
BBT 324	2016-12-05	Syradisk
BBT 325	2016-12-05	Lutdisk
T34	2016-12-05	Syradisk
T45	2016-12-05	Lutdisk
Aldox	2016-12-05	Syradisk
Rengör balanssystem	2016-12-05	Syradisk
BBT 304	2016-12-05	Syradisk
BBT 304	2016-12-05	Dubbeldisk
BBT 304	2016-12-05	Lutdisk
BBT 304	2016-12-06	Lutdisk
BBT 310	2016-12-06	Lutdisk
BBT 314	2016-12-06	Lutdisk
BBT 322	2016-12-06	Syradisk
BBT 312	2016-12-06	Dubbeldisk
BBT 305	2016-12-06	Lutdisk
BBT 307	2016-12-06	Lutdisk
BBT 306	2016-12-07	Lutdisk
BBT 308	2016-12-07	Lutdisk
BBT 313	2016-12-07	Dubbeldisk
BBT 318	2016-12-07	Rengjord
BBT 325	2016-12-07	Lutdisk
BBT 311	2016-12-08	Dubbeldisk
BBT 310	2016-12-08	Lutdisk
BBT 309	2016-12-08	Lutdisk
BBT 315	2016-12-08	Dubbeldisk
BBT 317	2016-12-08	Lutdisk
BBT 319	2016-12-08	Lut
BBT 307	2016-12-08	Lut
BBT 308	2016-12-08	Lut
BBT 312	2016-12-09	Lut
Rengör avloppsrännor jäskällaren	2016-12-09	Lut
BBT 310	2016-12-09	Lutdisk
BBT 321	2016-12-12	Lutdisk
BBT 306	2016-12-12	Lutdisk
BBT 306	2016-12-12	Lutdisk
BBT 324	2016-12-14	Lutdisk
BBT 304	2016-12-14	Lutdisk
BBT 319	2016-12-14	Lutdisk
T45	2016-12-14	Lutdisk
BBT 323	2016-12-15	Lutdisk
BBT 305	2016-12-15	Lutdisk
T34	2016-12-15	Lutdisk
Aldox	2016-12-15	Lutdisk
BBT 305	2016-12-15	Lutdisk
BBT 306	2016-12-15	Lutdisk
BBT 304	2016-12-15	Lutdisk
BBT 318	2016-12-15	Lutdisk
BBT 313	2016-12-15	Lutdisk
BBT 304	2016-12-15	Lutdisk
BBT 325	2016-12-15	Lutdisk
BBT 322	2016-12-15	Lutdisk
BBT 315	2016-12-15	Rengjord
BBT 321	2016-12-15	Rengjord
Rengör avloppsrännor jäskällaren	2016-12-15	Rengjord
Rengör avloppsrännor jäskällaren	2016-12-15	Rengjord
Rengör avloppsrännor jäskällaren	2016-12-15	Rengjord
Rengör avloppsrännor jäskällaren	2016-12-15	Rengjord
BBT 308	2016-12-15	Rengjord
BBT 308	2016-12-15	Lutdisk
BBT 314	2016-12-15	Lutdisk
BBT 307	2016-12-15	Lutdisk
BBT 312	2016-12-19	Lutdisk
BBT 307	2016-12-19	Lutdisk
BBT 321	2016-12-19	Lutdisk
BBT 315	2016-12-19	Lutdisk
BBT 310	2016-12-19	Lutdisk
BBT 319	2016-12-19	Lutdisk
BBT 324	2016-12-19	Lutdisk
BBT 313	2016-12-19	Dubbeldisk
BBT 314	2016-12-19	Lutdisk
BBT 317	2016-12-19	Lutdisk
BBT 308	2016-12-19	Lutdisk
T45	2016-12-19	Lutdisk
Rengör balanssystem	2016-12-19	Rengjord
Rengör balanssystem	2016-12-19	Rengjord
BBT 306	2016-12-20	Lutdisk
BBT 311	2016-12-20	Lutdisk
BBT 309	2016-12-21	Lutdisk
BBT 312	2016-12-21	Lutdisk
BBT 305	2016-12-21	Lutdisk
BBT 304	2016-12-21	Lutdisk
BBT 313	2016-12-21	Lutdisk
BBT 314	2016-12-21	Lutdisk  
BBT 317	2016-12-21	Lutdisk
BBT 313	2016-12-21	Lutdisk
BBT 315	2016-12-21	Lutdisk
BBT 322	2016-12-22	Lutdisk
BBT 318	2016-12-22	Lutdisk
BBT 323	2016-12-22	Lutdisk
BBT 320	2016-12-22	Lutdisk
BBT 314	2016-12-22	Lutdisk
BBT 325	2016-12-22	Lutdisk
BBT 316	2016-12-28	Lutdisk
BBT 320	2016-12-28	Lutdisk
BBT 314	2016-12-29	Lutdisk
BBT 322	2016-12-29	Lutdisk
BBT 318	2016-12-29	Lutdisk
BBT 313	2016-12-29	Lutdisk
BBT 323	2016-12-29	Lutdisk
BBT 325	2016-12-29	Lutdisk
BBT 319	2016-12-30	Lutdisk
BBT 319	2016-12-30	Lutdisk
T45	2016-12-30	Lutdisk
T45	2016-12-30	Lutdisk
T34	2016-12-30	Lutdisk
T34	2016-12-30	Lutdisk
BBT 305	2016-12-30	Lutdisk
Rengör balanssystem	2016-12-30	Rengjord
T45	2016-12-30	Lutdisk
Aldox	2016-12-30	Lutdisk
BBT 311	2016-12-30	Lutdisk
BBT 304	2017-01-03	Lutdisk
BBT 312	2017-01-03	Lutdisk
BBT 310	2017-01-05	Lutdisk
BBT 309	2017-01-05	Lutdisk
BBT 320	2017-02-03	Syradisk
BBT 318	2017-02-03	Syradisk
T45	2017-02-07	Lutdisk
T45	2017-02-07	Syradisk
BBT 318	2017-02-07	Syradisk
BBT 320	2017-02-07	Syradisk
BBT 325	2017-02-08	Totaldisk
RAW-ledningen	2017-02-08	Totaldisk
BBT 314	2017-02-09	Lutdisk
BBT 307	2017-02-09	Totaldisk
BBT 317	2017-02-09	Lutdisk
Filtret	2017-02-09	Syradisk
Filtret	2017-02-09	Lutdisk
BBT 323	2017-02-09	Lutdisk
BBT 310	2017-02-09	Lutdisk
BBT 321	2017-02-09	Lutdisk
BBT 322	2017-02-12	Lutdisk
BBT 320	2017-02-14	Lutdisk
BBT 318	2017-02-14	Syradisk
BBT 325	2017-02-14	Syradisk
T45	2017-02-14	Totaldisk
BBT 311	2017-02-16	Totaldisk
BBT 315	2017-02-16	Totaldisk
BBT 317	2017-02-16	Totaldisk
BBT 314	2017-02-16	Syradisk
T34	2017-02-16	Totaldisk
BBT 323	2017-02-16	Totaldisk
BBT 321	2017-02-16	Totaldisk
Filtret	2017-02-16	Totaldisk
BBT 322	2017-02-16	Totaldisk
BBT 304	2017-02-16	Totaldisk
BBT 304	2017-02-16	Lutdisk
Byt ut gula rengöringsverktyg (Filtrering)	2017-02-16	Rengjord
Byt ut gula rengöringsverktyg (Filtrering)	2017-02-17	Rengjord
BBT 307	2017-02-22	Syradisk
BBT 308	2017-02-22	Syradisk
BBT 311	2017-02-23	Syradisk
BBT 311	2017-02-23	Syradisk
BBT 311	2017-02-23	Syradisk
BBT 311	2017-02-23	Syradisk
BBT 310	2017-02-23	Syradisk
BBT 314	2017-02-23	Syradisk
BBT 311	2017-02-23	Syradisk
BBT 325	2017-02-24	Syradisk
Maltax	2017-02-24	Rengjord
T45	2017-02-25	Lutdisk
T34	2017-02-25	Lutdisk
BBT 321	2017-02-25	Syradisk
Gamla runtkörningen	2017-02-25	Totaldisk
BBT 317	2017-02-26	Syradisk
BBT 320	2017-02-26	Syradisk
Filtret-Veckoavslut	2017-02-26	Lutsterilning
BBT 304	2017-03-02	Dubbeldisk
Stora balanssystemet (1)	2017-03-03	Lutdisk
Lilla balanssystemet (2)	2017-03-03	Lutdisk
Aldox	2017-03-03	Syradisk
Filtret-Veckoavslut	2017-03-03	Lutsterilning
T34	2017-03-03	Lutdisk
T45	2017-03-03	Lutdisk
Gamla runtkörningen	2017-03-03	Totaldisk
BBT 306	2017-03-03	Lutdisk
BBT 305	2017-03-03	Lutdisk
BBT 310	2017-03-03	Lutdisk
BBT 314	2017-03-03	Lutdisk
BBT 316	2017-03-04	Lutdisk
BBT 306	2017-03-05	Lutdisk
BBT 307	2017-03-05	Lutdisk
BBT 322	2017-03-05	Lutdisk
BBT 317	2017-03-05	Lutdisk
BBT 313	2017-03-05	Lutdisk
BBT 308	2017-03-05	Lutdisk
BBT 309	2017-03-05	Lutdisk
BBT 319	2017-03-07	Lutdisk
BBT 324	2017-03-07	Lutdisk
BBT 311	2017-03-07	Lutdisk
BBT 312	2017-03-07	Lutdisk
BBT 319	2017-03-09	Syradisk
BBT 313	2017-03-12	Syradisk
BBT 312	2017-03-12	Syradisk
BBT 305	2017-03-13	Syradisk
BBT 306	2017-03-13	Syradisk
BBT 309	2017-03-13	Syradisk
BBT 322	2017-03-13	Syradisk
BBT 325	2017-03-13	Lutdisk
BBT 318	2017-03-13	Lutdisk
BBT 308	2017-03-13	Lutdisk
BBT 307	2017-03-13	Lutdisk
BBT 314	2017-03-13	Lutdisk
BBT 304	2017-03-13	Syradisk
BBT 323	2017-03-14	Lutdisk
BBT 310	2017-03-14	Lutdisk
BBT 311	2017-03-14	Syradisk
BBT 306	2017-03-14	Syradisk
BBT 316	2017-03-15	Syradisk
